12:34:11 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:34:11 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:38:20 | INFO    | pibe.training.trainer |   cell 4 | i= 4000 | global | obj=1.1861e-04 | data=1.5326e-05 | phys=2.5670e-05 | |g|=2.53e-01
12:38:27 | INFO    | pibe.training.trainer |   cell 4 | i= 4250 | global | obj=8.2022e-05 | data=8.8148e-06 | phys=8.7241e-06 | |g|=1.29e-01
12:38:35 | INFO    | pibe.training.trainer |   cell 4 | i= 4500 | global | obj=4.3758e-05 | data=4.6748e-06 | phys=1.0720e-05 | |g|=5.84e-02
12:38:43 | INFO    | pibe.training.trainer |   cell 4 | i= 4750 | global | obj=5.8366e-05 | data=5.3573e-06 | phys=5.5561e-06 | |g|=3.09e-02
12:38:50 | INFO    | pibe.training.trainer |   cell 4 | i= 5000 | global | obj=5.4081e-05 | data=5.2797e-06 | phys=6.4561e-06 | |g|=2.18e-02
12:38:58 | INFO    | pibe.training.trainer |   cell 4 | i= 5250 | global | obj=2.6462e-05 | data=2.3520e-06 | phys=2.9138e-06 | |g|=1.31e-02
12:39:06 | INFO    | pibe.training.trainer |   cell 4 | i= 5500 | global | obj=5.2703e-05 | data=3.8135e-06 | phys=5.8999e-06 | |g|=1.48e-02
12:39:14 | INFO    | pibe.training.trainer |   cell 4 | i= 5750 | global | obj=3.7738e-05 | data=2.8195e-06 | phys=3.0515e-06 | |g|=9.37e-03
12:39:22 | INFO    | pibe.training.trainer |   cell 4 | i= 5999 | global | obj=4.2929e-05 | data=3.5845e-06 | phys=4.8360e-06 | |g|=5.09e-03
12:39:22 | INFO    | pibe.training.trainer |   cell 4 done in 147.3s | val local=6.0569e-05 (data=1.2784e-05, phys=4.7785e-05)
